AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc, rawrap
104570,0.005,32.710278,0.6,0.3,17,0,0.86,1.9,10614,245,6,6.6,75,10614,0.005
12889,0.007083,47.274445,2.3,1.8,14,5017,7.36,0,5017,486,10,0,-1,5017,0.007083
331060,0.014167,23.087502,1.1,0.1,16,4461,1.96,2.3,4463,160,4,14.7,75,4463,0.014167
331405,0.014583,26.013889,0.8,0.3,16,0,2.62,2,10409,315,8,16.1,75,10409,0.014583
102896,0.025,28.201944,0.7,0.3,16,0,2.37,2.3,16254,406,17,11.2,75,16254,0.025
102895,0.038333,39.391945,0.5,0.15,17,0,6.68,0,317,69,0,0,69,317,0.038333
331062,0.038333,32.738335,0.7,0.5,14.9,10373,0,0,0,0,0,0,0,10373,0.038333
331798,0.054167,46.965,0.8,0.5,14.8,5366,0,0,0,0,0,0,0,5366,0.054167
331064,0.055,33.134167,0.6,0.3,15.4,5052,0,0,0,0,0,0,0,5052,0.055
102946,0.055417,29.677221,0.3,0.2,17.8,0,0,0,7000,0,0,0,78,7000,0.055417
103306,0.057917,22.362223,0.6,0.4,16.2,0,1.49,2.5,12918,276,5,8.1,75,12918,0.057917
331065,0.061667,32.831944,0.4,0.25,15.7,9384,0,0,0,0,0,0,0,9384,0.061667
331799,0.0675,32.7925,0,0,15.1,10332,0,0,0,0,0,0,0,10332,0.0675
102571,0.072083,27.400833,0.3,0.3,17,0,2,2.3,4654,104,3,19,75,4654,0.072083
12891,0.080417,22.990557,1.1,0.7,15.1,11710,0,0,0,0,0,0,0,11710,0.080417
331509,0.0825,22.993334,0,0,0,11692,0,0,0,0,0,0,0,11692,0.0825
102728,0.089167,31.021944,0.2,0.15,17,0,0.31,1.9,566,21,6,7.5,75,566,0.089167
331067,0.0925,34.616108,0.6,0.5,15.5,12702,0.99,2.8,12687,104,13,7.8,75,12687,0.0925
104678,0.092917,20.796667,0.5,0.3,17,0,2.49,3,6852,190,9,13.6,75,6852,0.092917
12894,0.09375,39.495556,1,1,17,334,6.24,0,335,57,3,0,19,335,0.09375
331068,0.12,32.782501,0.5,0.3,15.1,9803,0,0,0,0,0,0,0,9803,0.12
12896,0.130833,26.325279,1,0.9,14.7,7637,3.14,2.4,7653,170,10,22,75,7653,0.130833
331800,0.131667,26.304998,0.4,0.3,14.7,7754,0,0,0,0,0,0,0,7754,0.131667
102729,0.133333,30.869167,0.25,0.15,17,0,0.7,2,4618,53,6,10.5,75,4618,0.133333
331070,0.14,22.778334,0.4,0.4,16,6056,1.49,2.3,11715,80,3,16.4,75,11715,0.14
12898,0.155833,33.600555,1,0.4,16.5,4778,5.02,2.4,4780,190,2,33.6,75,4780,0.155833
12897,0.158333,28.384167,1.2,0.35,14.9,8705,0.5,0.5,8864,308,25,5.4,52,8864,0.158333
12895,0.159583,20.058887,1.2,0.9,16.5,6744,3.69,2.2,6746,161,3,30,75,6746,0.159583
102730,0.164583,31.938332,0.3,0.25,17.5,0,0.66,2.3,12631,79,23,7.3,75,12631,0.164583
331758,0.17625,28.368889,0.38,0.3,17.8,9007,0,0,0,0,0,0,0,9007,0.17625
331071,0.183333,28.401388,0.6,0.4,15.5,8216,0.32,0.3,8610,425,49,4.9,52,8610,0.183333
331764,0.1875,28.371666,0.72,0.46,17.4,8643,0,0,0,0,0,0,0,8643,0.1875
