RA,Decpoint
215354.6,340425
222039.5,351320
222913.1,351824
22332.6,352309
22338.4,352203
223733.3,353316
223739.9,345323
223742.8,351857
223858.2,340304
22399.4,335954
223922.7,340207
224119.6,344856
224137.7,344918
224214.1,335848
224255.5,344436
224323,344434
225910.9,342642
230344.2,342024
230515.3,342514
231146,342414
231621.5,341832
231828.9,342205
232634.4,335450
233126.5,335823
23349.4,343601
233912.7,340020
233945,342418
234237.9,344441
234328.6,335909
235050.9,360132
235741.3,360608
217,342252
333.1,341217
346.2,340611
835.2,344948
3346.8,340241
3642.3,360729
10138.6,344716
01046.3,342510
10525.6,342216
10550.5,344015
10720,344056
01099.5,345655
10939.1,352304
11112.4,344157
11129.3,335114
11256,345922
11631.7,341052
11810.3,342246
11844,335210
01190.9,344031
11928,353818
12051.8,345217
12059.8,341455
12113.9,340055
12248.4,343519
12248.7,335806
12424.5,340239
01275.7,343526
12815.7,340749
01312.0,340928
13515.9,345651
14316.9,352803
01460.2,345235
01523.6,335950
01523.8,340213
21924.5,360049
22935.1,341344
23825.4,355139
24619.6,335513
24715.6,335932
24812.5,341202
24822.4,340612
24944.8,350424
02503.3,350443
02504.7,350632
25014.6,344254
25049.6,345840
25057,350405
02510.9,353439
25113.2,353230
25128.1,353104
25211.8,350043
25245.4,350519
25311,343447
02547.9,345755
25619.9,340251
02580.0,351055
25858.6,351645
25912,345929
03001.2,351738
03020.2,350849
30247.9,350428
30317.9,350214
30352.5,353453
30412.2,353044
30417.7,354732
30510.4,354946
