AGCNr,Name,RAdeg_HI,Decdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,errW50,HIflux,errflux,SNR,RMS,Dist,logMsun,HIcode,useradeg,usedecdeg,wrapradeg
333313,        ,0.00375,24.90889,359.9975,24.9075,11181,313,20,1.8,0.09,11.3,2.02,154.8,10.01,1,359.9975,24.9075,-0.0025
331060,478-009b,0.01042,23.08472,0.01417,23.0875,4463,160,4,1.96,0.07,14.7,2.35,50.6,9.07,1,0.01417,23.0875,0.01417
104570,        ,0.00667,32.70834,0.005,32.71028,10614,245,6,0.86,0.07,6.6,1.86,147,9.64,1,0.005,32.71028,0.005
331405,        ,0.01375,26.01639,0.01458,26.01389,10409,315,8,2.62,0.09,16.1,2.05,143.8,10.11,1,0.01458,26.01389,0.01458
102896,        ,0.02833,28.20194,0.025,28.20194,16254,406,17,2.37,0.12,11.2,2.31,227.4,10.46,1,0.025,28.20194,0.025
102571,        ,0.07167,27.39972,0.07208,27.40083,4654,104,3,2,0.06,19,2.29,65.9,9.31,1,0.07208,27.40083,0.07208
102728,        ,0.08833,31.01056,0.08917,31.02194,566,21,6,0.31,0.03,7.5,1.92,9.1,6.78,1,0.08917,31.02194,0.08917
331067,517-010 ,0.08333,34.61139,0.0925,34.61611,12687,104,13,0.99,0.08,7.8,2.75,176.7,9.86,1,0.0925,34.61611,0.0925
12896,478-010 ,0.12542,26.32445,0.13083,26.32528,7653,170,10,3.14,0.08,22,2.44,104.5,9.91,1,0.13083,26.32528,0.13083
102729,        ,0.13375,30.86444,0.13333,30.86917,4618,53,6,0.7,0.04,10.5,2.02,65.4,8.85,1,0.13333,30.86917,0.13333
331070,discrpz ,0.14083,22.77917,0.14,22.77833,11715,80,3,1.49,0.06,16.4,2.26,162.4,9.97,1,0.14,22.77833,0.14
102730,        ,0.16708,31.93611,0.16458,31.93833,12631,79,23,0.66,0.05,7.3,2.25,175.8,9.68,1,0.16458,31.93833,0.16458
103040,        ,0.235,33.35,0.2425,33.34389,12951,138,37,0.99,0.1,6.1,3.08,180.4,9.88,1,0.2425,33.34389,0.2425
12901,499-035 ,0.24792,28.90861,0.24542,28.91139,6896,395,5,5.03,0.11,25.2,2.24,93.7,10.02,1,0.24542,28.91139,0.24542
103567,        ,0.27708,32.38222,0.2775,32.37917,542,32,2,1.42,0.04,25.9,2.09,8.8,7.41,1,0.2775,32.37917,0.2775
102731,FGC290A ,0.28875,30.8725,0.27667,30.87972,7366,257,8,1.33,0.08,8.9,2.08,100.5,9.5,1,0.27667,30.87972,0.27667
102732,        ,0.31167,31.37167,0.3125,31.37417,12532,292,5,1.54,0.09,9.1,2.2,174.3,10.04,1,0.3125,31.37417,0.3125
12909,I5376   ,0.33167,34.52611,0.3325,34.52555,5026,433,7,7.09,0.12,31.1,2.35,71.3,9.93,1,0.3325,34.52555,0.3325
102733,        ,0.37417,31.23833,0.375,31.23417,12581,134,12,1.03,0.08,8.6,2.29,175,9.87,1,0.375,31.23417,0.375
12911,N7806   ,0.38125,31.44139,0.37542,31.44194,4767,231,23,1.4,0.08,9.4,2.19,68.9,9.2,1,0.37542,31.44194,0.37542
331083,499-038 ,0.39625,33.55639,0.39958,33.56305,7469,290,16,1.89,0.11,8.9,2.79,102.1,9.67,1,0.39958,33.56305,0.39958
12915,478-013 ,0.41458,23.48778,0.425,23.49611,4378,619,6,11.39,0.14,33.4,2.46,61.9,10.01,1,0.425,23.49611,0.425
12914,478-012 ,0.40917,23.48694,0.41,23.48333,4342,531,3,10.06,0.43,10.5,8.02,61.9,9.96,1,0.41,23.48333,0.41
103246,        ,0.41292,22.3625,0.41208,22.36222,12918,276,5,1.49,0.1,8.1,2.45,179.6,10.05,1,0.41208,22.36222,0.41208
102734,        ,0.42792,32.10778,0.42333,32.10778,12560,226,9,1.61,0.08,10.7,2.23,174.8,10.06,1,0.42333,32.10778,0.42333
102735,        ,0.50083,30.98306,0.50542,30.98278,2878,152,2,1.79,0.07,13.8,2.34,40.6,8.84,1,0.50542,30.98278,0.50542
102980,        ,0.59167,28.31194,0.58042,28.33056,6819,45,6,0.72,0.04,11.2,2.09,92.6,9.16,1,0.58042,28.33056,0.58042
12920,478-014 ,0.59625,27.21417,0.59583,27.21056,7613,281,2,2.88,0.1,16,2.4,103.9,9.86,1,0.59583,27.21056,0.59583
103301,        ,0.62708,23.35222,0.62458,23.35056,4274,190,5,1.19,0.07,8.7,2.22,60.4,9.01,1,0.62458,23.35056,0.62458
103302,        ,0.645,23.62417,0.64167,23.61889,9989,208,5,1.23,0.09,7.7,2.47,137.8,9.74,1,0.64167,23.61889,0.64167
104574,        ,0.66292,33.60528,0.67625,33.60028,4852,197,4,1.57,0.09,9.4,2.66,68.7,9.24,1,0.67625,33.60028,0.67625
100006,499-039 ,0.70958,31.48639,0.70917,31.485,4947,109,2,1.2,0.06,12.1,2.11,68.9,9.13,1,0.70917,31.485,0.70917
104575,        ,0.70833,32.76611,0.7125,32.79445,10434,242,36,1.43,0.12,6.8,3.01,144.4,9.85,1,0.7125,32.79445,0.7125
100008,Eder Dw ,0.72583,29.57972,0.735,29.58417,4842,119,7,1.33,0.05,15.5,1.75,68.5,9.17,1,0.735,29.58417,0.735
