optvel, fluxJy
2500.340998,-0.001695
2505.580259,-0.002580
2510.819703,-0.002110
2516.059327,-0.002431
2521.299133,-0.006103
2526.539121,-0.007956
2531.779291,-0.006416
2537.019642,-0.005166
2542.260175,-0.006415
2547.500890,-0.007363
2552.741786,-0.004810
2557.982864,-0.002606
2563.224124,-0.002708
2568.465565,-0.003126
2573.707188,-0.002149
2578.948993,-0.001136
2584.190980,-0.003204
2589.433148,-0.006003
2594.675499,-0.004804
2599.918030,-0.002011
2605.160744,-0.001158
2610.403640,-0.001367
2615.646717,-0.001305
2620.889976,0.001698
2626.133417,0.005308
2631.377040,0.004308
2636.620844,0.001837
2641.864831,0.001078
2647.108999,0.001162
2652.353350,0.000910
2657.597882,-0.000037
2662.842596,-0.000914
2668.087491,-0.000839
2673.332569,0.001656
2678.577829,0.001439
2683.823271,-0.001303
2689.068894,-0.000002
2694.314700,0.001355
2699.560687,0.000238
2704.806856,-0.000793
2710.053208,-0.002613
2715.299741,-0.004201
2720.546457,-0.002554
2725.793354,0.000681
2731.040433,0.002476
2736.287695,0.000526
2741.535138,-0.000634
2746.782764,0.002269
2752.030571,0.005507
2757.278561,0.005106
2762.526732,0.000945
2767.775086,0.000918
2773.023622,0.003139
2778.272340,0.002582
2783.521240,0.000874
2788.770322,-0.001350
2794.019586,-0.001307
2799.269033,0.000577
2804.518661,0.000556
2809.768472,0.000097
2815.018465,0.000101
2820.268640,-0.000208
2825.518997,-0.001115
2830.769536,-0.002185
2836.020258,-0.004127
2841.271162,-0.004022
2846.522248,-0.000791
2851.773516,-0.000822
2857.024967,-0.002308
2862.276599,0.000544
2867.528414,0.004324
2872.780412,0.003093
2878.032591,0.001993
2883.284953,0.004305
2888.537497,0.005609
2893.790223,0.003852
2899.043132,-0.000531
2904.296223,-0.003086
2909.549497,-0.002145
2914.802952,-0.000899
2920.056591,0.002081
2925.310411,0.003544
2930.564414,-0.002009
2935.818599,-0.006409
2941.072967,-0.005913
