AGCnum,SrcName,RAdeg,Decdeg,wappfile,#pr,d/n,quad,cont,ord,Xsmo,rms,fit,W50,Werr,Vsys,Flux,SN,Wqual,Comment
102834,S000108.9+301109,0.28708,30.18583,wapp.20161016.a3064.0020,1,d,3,-7.6,4,H3,0.955,2p,115.29,6.8,9423.66,0.779,12.7,Y,
104810,S001714.2+241901,4.3092,24.3169,wapp.20151024.a2982.0017,,n,0,0,0,0,0,0,0,0,0,0,0,0,
104357,S001803.9+292223,4.5163,29.3731,wapp.20151119.a2982.0015,,n,0,0,0,0,0,0,0,0,0,0,0,0,
102253,S002311.4+265155,5.7975,26.86528,wapp.20151128.a2982.0011,1,d,3,6.11094,2,H3,0.910492,g,65.731642,3.3310835,9273.2142,0.43336342,9.9150682,N,
104518,S003642.3+360729,9.17625,36.12472,wapp.20151130.a2982.0014,1,d,2,-6.97,1,H3,1.229,2p,89.13,37.66,4890.27,0.352,5,N,
104996,S003726.7+332305,9.36125,33.38472,wapp.20151128.a2982.0012,1,d,2,-8.13,1,H3,1.08,2p,145.22,5.21,6213.03,0.904,11.44,Y,
104450,S004422.6+271739,11.0942,27.2942,wapp.20151119.a2982.0019,1,d,3,2.63,0,H3+B5,0.864,2p,130.1,4.08,9059.3,0.474,8.04,Y,
116268,S010920.5+322557,17.3354,32.4325,wapp.20161012.a3064.0002,1,d,1,-3.36,1,H3,1.017,g,40.47,1.32,-407.38,0.557,13.99,N,
115570,S011631.7+341052,19.13208,34.18111,wapp.20151127.a2982.0017,1,d,3,-5.43,3,H3,1.016,2p,259.27,16.76,9042.87,0.596,6.09,Y,
115571,S011810.3+342246,19.54292,34.37944,wapp.20151126.a2982.0017,1,d,2,-8.2,1,H3,1.048,2p,123.95,9.06,4918.21,0.739,10.44,Y,
110192,S011853.0+331022,19.72083,33.17278,wapp.20161023.a3064.0018,1,d,2,-8.52,4,H3,1.178,g,81.28,3.99,5718.37,0.629,9.76,N,
115412,S011910.2+334422,19.7925,33.73944,wapp.20151007.a2982.0003,1,d,2,-13.56,1,H3,1.069,2p,77.94,7.35,3782.87,0.234,4.09,U,
115572,S011928.0+353818,19.86667,35.63834,wapp.20151127.a2982.0018,1,d,2,-9.74,2,H3,1.135,g,71.02,5.86,4790.93,0.337,5.81,N,
879,S012059.8+341455,20.24917,34.24861,wapp.20161024.a3064.0024,1,d,2,0.47,1,H3+B5,0.873,2p,425.74,20.35,5117.94,0.853,7.56,U,"very wide, tough to fit - real?"
110268,S012248.7+335806,20.70292,33.96833,wapp.20151127.a2982.0019,1,d,2,-1.88,1,H3,0.977,2p,295.88,8.67,5514.81,0.867,8.51,Y,
115578,S012424.5+340239,21.10208,34.04417,wapp.20151127.a2982.0020,1,d,2,-4.97,2,H3,1.012,2p,150.94,7.69,5802.94,0.611,8.09,Y,
115902,S013022.0+320229,22.59167,32.04139,wapp.20151127.a2982.0021,1,d/n,2,-3.13,1,H3,1.067,2p,147.72,60.42,5310.72,0.323,4.1,U,"poor quality, not convinced"
115470,S013102.0+340928,22.75833,34.15778,wapp.20151128.a2982.0019,1,d,2,-5.97,1,H3,0.971,2p,134.18,12.18,4682.73,0.547,8.02,Y,
115574,S013515.9+345651,23.81625,34.9475,wapp.20151128.a2982.0020,1,d,2,-3.22,1,H3,1.113,2p,87.56,5.77,4032.32,0.509,8.06,Y,
115579,S014316.9+352803,25.82042,35.4675,wapp.20151126.a2982.0020,1,d,2,-10.786,1,H3,1.062,2p,118.73,5.88,5055.24,0.628,8.95,Y,
115580,S014600.2+345235,26.50083,34.87639,wapp.20151126.a2982.0021,1,d,2,-8.851,1,H3,0.984,2p,94.13,8.54,4690.41,0.454,7.83,Y,
115688,S014812.2+330023,27.05083,33.00639,wapp.20151126.a2982.0022,1,d,2,-7.87,2,H3,0.977,2p,130.93,8.62,4499.72,0.589,8.68,Y,
115898,S015600.7+333903,29.00292,33.65083,wapp.20151130.a2982.0020,1,d,3,-20.327,4,H3,1.037,2p,231.12,2.62,8883.49,0.798,8.47,Y,
110647,S015602.1+330802,29.00875,33.13389,wapp.20161016.a3064.0003,1,d,2,-3.896,2,H3,0.995,2p,157.95,21.18,4438.32,0.959,12.63,Y,
123181,S020529.4+294754,31.3725,29.79833,wapp.20161012.a3064.0005,1,d/n,3,0.565,0,H3,1.016,2p,178.81,23.45,10650.95,0.377,4.64,U,"poor quality, not convinced"
122930,S021001.2+250636,32.505,25.11,wapp.20151126.a2982.0026,1,d,3,-49.15,0,H3,1.014,2p,197.22,9.36,9798.58,0.617,7.25,Y,strong gps - possible contamination
124883,S021924.5+360049,34.85209,36.01361,wapp.20151128.a2982.0023,1,d,2,-16.38,1,H3,1.167,2p,109.3,32.92,6716.41,0.556,7.51,U,"poor quality, not happy with fit"
