RA,Dec
H215353.5,340423
S222039.5,351320
S222913.1,351824
S223302.6,352309
S223308.4,352203
S223733.3,353316
S223739.9,345323
S223742.8,351857
S223858.2,340304
S223909.4,335954
S223922.7,340207
S224119.6,344856
S224137.7,344918
S224214.1,335848
S224255.5,344436
S224323.0,344434
S225910.9,342642
S230344.2,342024
S230515.3,342514
S231146.0,342414
S231621.5,341832
S231828.9,342205
S232634.4,335450
S233126.5,335823
S233409.4,343601
S233912.7,340020
S233945.0,342418
S234237.9,344441
S234328.6,335909
S235050.9,360132
S235741.3,360608
S000217.0,342252
S000333.1,341217
S000346.2,340611
S000835.2,344948
S003346.8,340241
S003642.3,360729
S010138.6,344716
S010406.3,342510
S010525.6,342216
S010550.5,344015
S010720.0,344056
S010909.5,345655
S010939.1,352304
S011112.4,344157
S011129.3,335114
S011256.0,345922
S011631.7,341052
S011810.3,342246
S011844.0,335210
S011900.9,344031
S011928.0,353818
S012051.8,345217
S012059.8,341455
S012113.9,340055
S012248.4,343519
S012248.7,335806
S012424.5,340239
S012705.7,343526
S012815.7,340749
S013102.0,340928
S013515.9,345651
S014316.9,352803
S014600.2,345235
S015203.6,335950
S015203.8,340213
S021924.5,360049
S022935.1,341344
S023825.4,355139
S024619.6,335513
S024715.6,335932
S024812.5,341202
S024822.4,340612
S024944.8,350424
S025003.3,350443
S025004.7,350632
S025014.6,344254
S025049.6,345840
S025057.0,350405
S025100.9,353439
S025113.2,353230
S025128.1,353104
S025211.8,350043
S025245.4,350519
S025311.0,343447
S025407.9,345755
S025619.9,340251
S025800.0,351055
S025858.6,351645
S025912.0,345929
S030001.2,351738
S030200.2,350849
S030248.5,350443
S030317.9,350214
S030352.5,353453
S030412.2,353044
S030417.7,354732
H030510.4,354946
