AGCnum,SrcName,RAdeg,Decdeg,wappfile,#pr,d/n,quad,cont,ord,Xsmo,rms,fit,W50,Werr,Vsys,Flux,SN,Wqual,Comment
102834,S000108.9+301109,0.28708,30.18583,wapp.20161016.a3064.0020,1,d,3,-7.61281,1,H3,0.974875,2P,113.83,4.7500029,9423.01,0.761,12.244096,Y,
104810,S001714.2+241901,4.3092,24.3169,wapp.20151024.a2982.0017,,n,,,,,,,,,,,,,"all boards are very noisy, but there is nothing significant happening with the emissions."
104357,S001803.9+292223,4.5163,29.3731,wapp.20151119.a2982.0015,,n,,,,,,,,,,,,,"board 2 shows nothing significant, board three has only the emission caused by gps"
102253,S002311.4+265155,5.7975,26.86528,wapp.20151128.a2982.0011,1,d,3,6.11094,2,H3,0.901862,single,65.73,3.33,9273.21,0.433,8.6147161,U,
104518,S003642.3+360729,9.17625,36.12472,wapp.20151130.a2982.0014,1,d,3,-18.9473,1,H3,1.282,single,45.10025,2.1789831,9787.5536,0.51612647,10.080143,Y,GPS signal could not be taken out
104996,S003726.7+332305,9.36125,33.38472,wapp.20151128.a2982.0012,1,d,2,-8.20619,3,H3,1.04994,2P,146.40975,5.0166749,6212.922,0.97446809,13.077638,Y,
104450,S004422.6+271739,11.0942,27.2942,wapp.20151119.a2982.0019,1,d,3,2.71556,0,H3+5CB,0.899352,2P,129.87051,4.8246505,9059.5088,0.49113956,8.016544,Y,
116268,S010920.5+322557,17.3354,32.4325,wapp.20161012.a3064.0002,1,d,1,-3.30613,1,H3,0.9699,2P,41.339784,2.4724361,-407.3578,0.5306035,13.827443,U,zooming in I relaized it was 2 horned!
115570,S011631.7+341052,19.13208,34.18111,wapp.20151127.a2982.0017,1,d,3,-5.11247,1,H3,1.0256,2P,268.68129,14.480407,9040.2203,0.70429271,7.0083443,Y,very choppy profile
115571,S011810.3+342246,19.54292,34.37944,wapp.20151126.a2982.0017,1,d,2,-7.85895,1,H3,1.0164,2P,123.24595,8.8450528,4918.2699,0.73227134,10.699701,Y,
110192,S011853.0+331022,19.72083,33.17278,wapp.20161023.a3064.0018,1,d,2,-8.4563,3,H3,1.33939,2p,73.98435,12.912249,5716.1282,0.57313881,9.1861915,Y,i saw this as a 2 horned profile more so than a gaussian
115412,S011910.2+334422,19.7925,33.73944,wapp.20151007.a2982.0003,1,d,2,-13.8652,1,H3,1.08335,2P,62.437529,13.363696,3789.9105,0.21844756,4.4450777,Y,
