AGCnr,srcname,RADecpoint,wappname1,wappname2,wappname3,#pr,d/n,quad,cont,ord,Xsmo,rms,fit,W50,Werr,Vsys,Flux,SN,Wqual,Comment
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,d,2,-5.52897,1,H3,1.44676,2P,114.57321,13.085806,4678.2954,0.81543462,8.6814951,Y,"Some huge spike around 1388 in the same board, around 7000 km/s what is it?? very choppy on right side emission, hard to fit"
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,n,3,-6.32694,1,H3,1.46037,0,0,0,0,0,0,Y,
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,n,1,-1.20811,2,H3,1.46645,0,0,0,0,0,0,Y,0
311300,H215353.5+340423,215354.6+340425,wapp.20161120.a3064.0000,""" """,""" """,1,n,4,-4.95241,3,H3,1.58481,0,0,0,0,0,0,Y,
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,n,1,-13.9677,2,H3,1.18079,0,0,0,0,0,0,Y,
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,d?,2,-12.52,3,H3,1.20255,0,0,0,0,0,0,U,"this could have been a signal but it is uncertain because it is so choppy, and couldnt measure the area around 5500 km/s"
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,n,3,-15.5575,3,H3,1.16569,0,0,0,0,0,0,Y,
11993,S222039.5+351320,222039.5+351320,wapp.20161117.a3064.0003,""" """,""" """,1,n,4,-11.8997,2,H3,1.39448,0,0,0,0,0,0,Y,
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,2,-54.7388,3,H3,1.125,0,0,0,0,0,0,U,"There is still a big spike but it is in the negative direction a little under 7000 km/s, multiple spikes total of similar widths "
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,1,-33.1919,1,H3,0.842402,0,0,0,0,0,0,Y,pickedfirstorderisteadofrecomeendedfifth
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,3,-33.7321,3,H3,0.7268,0,0,0,0,0,0,Y,"noisy, sloping upward"
322757,S222913.1+351824,222913.1+351824,wapp.20151128.a2982.0003,wapp.20151124.a2982.0002,""" """,2,n,4,-33.4915,3,H3,0.900555,0,0,0,0,0,0,Y,
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,d,2,17.8522,0,H3,0.935378,2P,144.1381,4.5012338,6272.7174,0.77021407,11.307809,Y,"there are 2 peaks close together, but the one I measured is just a tiny bit bigger, maybe it's just noisy"
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,n,1,21.5508,1,H3,0.7582,0,0,0,0,0,0,Y,changed the order from fifth to first
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,n,3,18.5494,3,H3,0.689326,0,0,0,0,0,0,Y,noisy
322526,S223302.6+352309,22332.6+352309,wapp.20151128.a2982.0004,wapp.20151124.a2982.0003,""" """,2,n,4,22.4675,0,H3,0.861991,0,0,0,0,0,0,Y,
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,d,2,7.67138,1,H3,1.08261,0,0,0,0,0,0,U,"2 or 3 separte emissions again!!!, possible megamaser??? @ z = .1467"
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,n,3,3.16427,1,H3,1.06542,0,0,0,0,0,0,Y,very noisy
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,n,1,6.00813,2,H3,1.05154,0,0,0,0,0,0,Y,0
322531,S223308.4+352203,22338.4+352203,wapp.20151130.a2982.0006,""" """,""" """,1,n,4,3.83719,2,H3,1.24006,0,0,0,0,0,0,Y,all interference is in the off direction
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,3,52.199,0,H3,0.956405,0,0,0,0,0,0,U,"8041.6635 possibly, very choppy/noisy spectrum "
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,1,53.5109,1,H3,0.892695,0,0,0,0,0,0,Y,"spike around 600 km/s in the on direction, I changed it from sixth to first order"
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,2,53.6975,1,H3,0.952333,0,0,0,0,0,0,Y,changed from seventh to first order
322717,S223733.3+353316,223733.3+353316,wapp.20151128.a2982.0006,wapp.20151124.a2982.0005,""" """,2,n,4,48.8952,2,H3,0.897424,0,0,0,0,0,0,Y,
322546,S223739.9+345323,223739.9+345323,wapp.20150903.a2982.0001,""" """,""" """,1,d,3,4.24476,1,H3,1.08625,2P,144.66311,5.4902599,8349.1331,0.32086746,4.1083484,Y,"perhaps a little too wide, could not select the right side region emission for the life of me"
